day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT
1,1,9.60578795980775,3.8288440447192413,19.0,4,5
1,2,7.053562144740978,13.788913470759763,12.0,11,15
1,3,3.6781165283086974,7.00010701972138,3.0,3,7
1,4,5.7306866542968,7.644708457721137,15.0,2,3
1,5,8.43141635381183,16.330558689999418,12.0,11,16
1,6,1.0260835646323514,17.567313715373672,nan,0,23
1,7,9.299818884468468,1.044317693457042,15.0,2,3
1,8,7.727658396756246,12.804698215545688,6.0,5,14
1,9,6.210010785790483,8.790225591125553,5.0,4,9
1,10,5.818609956518483,12.804230337457781,3.0,3,9
1,11,5.522926322478377,6.6607670864753565,3.0,3,9
1,12,2.564398976965579,7.524794959682081,3.0,3,8
1,13,8.974655769526214,16.921859841705498,8.0,7,15
1,14,7.67455960241217,18.98220503562181,8.0,7,19
1,15,4.57850472854585,19.39493710689234,6.0,5,8
1,16,8.505681480314738,2.1322956015697363,17.0,3,4
1,17,5.809027867556008,11.932366202477272,7.0,6,10
1,18,8.408080735503955,18.09886737127768,12.0,11,17
1,19,1.4265364656034052,14.694599600404345,6.0,5,10
1,20,4.123719136373554,12.292891925778155,1.0,1,10
2,1,3.626638284470467,1.3821466701787117,4.0,4,4
2,2,2.0483434630382127,8.948829159793812,2.0,3,10
2,3,4.803563161847963,13.457321156601846,6.0,5,12
2,4,3.170569442046403,16.49207265552743,4.0,7,10
2,5,6.856406920278559,12.607426835293193,8.0,8,10
2,6,6.2804104790198485,11.80936423824203,6.0,6,15
2,7,1.9240121046509877,16.305980956305337,3.0,3,12
2,8,6.33877223290996,1.3116265719057498,16.0,2,2
2,9,4.9913133761637685,3.352787018280316,6.0,6,6
2,10,6.2278762312608835,4.068601847687754,22.0,5,5
2,11,5.1865999941086685,6.346358429735109,5.0,4,4
2,12,7.136175838881411,18.370549163483357,12.0,16,16
2,13,8.891769870387826,5.904906892386327,23.0,6,7
2,14,7.645855405643964,8.376084353226368,22.0,5,6
2,15,5.277149307681141,18.44434130084599,9.0,9,14
2,16,5.110326031016351,8.359265679051095,6.0,8,10
2,17,9.528437857895284,15.303027862669424,13.0,12,13
2,18,8.64801602733356,6.748652014783684,23.0,6,7
2,19,6.482879249782459,2.4034880809917785,18.0,3,3
2,20,4.839575750788837,15.224173491402626,7.0,11,14
3,1,3.6984685521509717,5.874775272722455,6.0,4,7
3,2,1.3782501570873142,13.043177589793487,2.0,2,10
3,3,9.065744286893414,14.079638273615775,14.0,10,14
3,4,2.1556967918957533,2.821751615249914,1.0,1,2
3,5,7.521160026488092,13.489421433948642,8.0,8,12
3,6,1.0839087546182533,3.33292409272902,1.0,1,1
3,7,8.010432007543915,3.319039479691932,24.0,6,6
3,8,8.952715249272408,14.460036010342693,7.0,6,10
3,9,3.302427762555512,13.580440092362306,4.0,4,13
3,10,7.193737244879295,9.090959685276703,5.0,4,8
3,11,8.248734723055286,14.314341971606828,10.0,9,14
3,12,6.235451892212436,7.835692370679295,9.0,7,7
3,13,4.247290933028454,13.639788911333927,7.0,2,6
3,14,2.0053331171202484,5.4370817730516805,0.0,0,4
3,15,6.52877952259615,1.2343195177609099,16.0,2,2
3,16,2.406206300361988,13.248718187747317,2.0,2,12
3,17,7.810932480497594,3.5038598701341526,6.0,5,8
3,18,3.2321203036726516,13.706331685212996,3.0,2,10
3,19,7.640860977607632,16.846981908912912,6.0,5,18
3,20,7.507093281131633,14.124034393621978,6.0,7,13
4,1,7.955415949011843,9.63621289638076,7.0,6,12
4,2,5.843925439088704,2.531324621054506,19.0,3,3
4,3,3.0200021781460356,11.558694702462862,3.0,3,7
4,4,4.8250111503153255,10.390727978880328,5.0,5,8
4,5,4.125650841358347,5.2736354963680805,6.0,3,3
4,6,8.792420047689768,17.253008816569903,10.0,9,17
4,7,5.068230288378399,9.209643559621211,9.0,7,7
4,8,1.2861849260607217,5.060395979383559,1.0,1,9
4,9,2.257556283965151,6.7789070114007774,2.0,3,6
4,10,9.581059257451987,13.505104553085955,11.0,12,19
4,11,8.557452341251249,2.1728184462688387,19.0,3,3
4,12,5.2501794732651375,4.824751537597972,7.0,4,4
4,13,1.494904784802742,2.2499941936331393,1.0,1,1
4,14,5.355175709820908,4.800741848404451,7.0,5,6
4,15,5.527518225589034,17.775156739751075,7.0,7,19
4,16,4.796717320254192,10.831780803938818,7.0,6,13
4,17,3.9781495570309406,9.627096510841715,5.0,5,12
4,18,3.7658011319889066,4.2794324349596105,10.0,6,6
4,19,2.042012419865345,18.397788410908053,2.0,2,20
4,20,6.005014975513497,9.11454642533675,5.0,4,10
5,1,8.138102219254318,8.587549617372332,21.0,4,4
5,2,8.48673510029346,16.628112707727375,10.0,8,10
5,3,7.558451046638149,2.7824153245696146,17.0,2,2
5,4,6.42663543579355,5.021414970637784,17.0,2,2
5,5,7.297270158546406,1.9826192946306542,nan,0,0
5,6,8.59861132341241,2.8469805764019984,8.0,4,4
5,7,6.010827727772194,7.107873947076868,8.0,5,5
5,8,6.994846843467684,10.351863776819568,9.0,8,8
5,9,8.411459306112596,15.34311579040366,6.0,7,20
5,10,8.630770219471355,8.562230789020434,21.0,4,4
5,11,9.335156340323369,8.363767167236098,28.0,8,8
5,12,8.868880642596519,2.870746021986684,nan,0,0
5,13,3.504875563322226,9.903221437485549,4.0,3,10
5,14,7.026328912796208,12.695304645281253,7.0,8,13
5,15,9.35785782308999,15.709556207047918,10.0,10,9
5,16,5.571650733228105,8.628404656102006,9.0,5,5
5,17,9.013318568596626,8.267959408632521,10.0,10,11
5,18,9.679106070805664,19.824730216181123,11.0,9,19
5,19,9.486897411604156,12.669644125267007,14.0,9,9
5,20,7.410718887697423,17.70508252410606,7.0,8,15
