day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT
1,1,1.52363102098701,10.793212550091432,nan,0,14
1,2,2.3130669208696575,5.979181432050411,1.0,1,6
1,3,9.298432945448168,15.993873544874498,9.0,8,10
1,4,7.907674588141776,17.543387613552223,7.0,6,15
1,5,5.326946670110298,6.9829102783219,22.0,6,6
1,6,6.114249860624015,11.269969759415243,8.0,7,12
1,7,5.00608299712172,12.408704684041968,7.0,6,12
1,8,4.713850269858243,4.493065867122555,2.0,2,3
1,9,9.97661018774909,13.112063529292644,6.0,5,9
1,10,6.796490425579164,10.028687227504218,3.0,3,13
1,11,8.52355751530228,7.71619325006062,19.0,4,4
1,12,8.05477425304564,1.029856741174802,1.0,1,2
1,13,6.94769189267617,9.87396305479792,3.0,3,10
1,14,1.8270943534463262,5.465522080322783,1.0,1,6
1,15,7.693316481435205,12.428353418169896,29.0,10,10
1,16,5.867398318227286,4.718111453823126,22.0,6,6
1,17,5.799435183319073,10.702925067231888,7.0,6,10
1,18,7.052093820227701,10.912027803730057,7.0,6,8
1,19,5.398309461448285,12.20617522700502,2.0,2,8
1,20,5.11556376239998,19.37949338321514,3.0,3,17
2,1,3.7499551819432906,19.740307608172,5.0,8,23
2,2,6.343532289192453,7.433832693595315,17.0,14,15
2,3,9.15486798898695,9.136053393070252,9.0,9,10
2,4,3.6904941568685254,1.1190976024987345,1.0,1,2
2,5,4.332882111130515,13.202906131152897,5.0,5,16
2,6,6.757586235874067,6.010858244358868,5.0,4,6
2,7,6.5070832067526805,12.507465387630264,8.0,9,10
2,8,6.15200158782015,7.420127228510328,6.0,6,8
2,9,5.825400717956252,14.235534807849248,8.0,8,16
2,10,6.583484343622835,12.981115653976204,9.0,10,15
2,11,2.449856820440953,13.134357819140497,5.0,6,10
2,12,3.702506676073098,7.7713132929630575,1.0,4,4
2,13,5.256258215340676,2.244332849402417,nan,2,2
2,14,9.46327172801969,16.89401004451709,13.0,17,14
2,15,3.201647721989521,5.55364987962964,22.0,5,6
2,16,1.764064308479167,12.401040252937742,1.0,1,19
2,17,3.3099096032799498,11.801493983604825,6.0,8,10
2,18,7.284052512940495,17.94308936900887,7.0,8,15
2,19,5.320446101434378,12.044043853217177,5.0,5,10
2,20,6.9488647586627295,9.960990293312088,12.0,9,9
3,1,6.980832880476009,9.817313241138237,6.0,6,8
3,2,8.93619948547858,17.087223869684408,11.0,11,19
3,3,5.15674355803364,13.746055818682123,5.0,5,14
3,4,8.058513657358173,6.070742016756742,10.0,6,7
3,5,5.173780946968865,15.95749944927675,3.0,3,10
3,6,5.083573854326501,19.207111725720857,5.0,6,18
3,7,2.7598059720411157,9.879888325902066,4.0,3,10
3,8,9.546596510585768,16.231664203187897,7.0,7,16
3,9,6.79122800458319,2.661225336803225,18.0,3,4
3,10,2.5217138178521514,9.806454806720598,2.0,1,9
3,11,5.647791653703989,8.043702255965579,2.0,4,6
3,12,4.15739962511072,1.4680488179384596,5.0,2,2
3,13,7.993547189857614,19.44782424527973,13.0,10,12
3,14,5.802510056064707,16.940065528087345,6.0,5,10
3,15,8.182192287917324,7.046221279591828,12.0,8,9
3,16,5.712364415719673,15.763423694141615,6.0,6,12
3,17,6.567781044918021,7.069007227505303,9.0,5,7
3,18,3.916391956121708,2.7137328024787526,5.0,3,4
3,19,8.777646767907498,3.631496417360386,24.0,6,6
3,20,9.253916032636614,15.303209168464734,11.0,11,13
4,1,1.244670344486123,1.9196014380995527,1.0,1,2
