day,idx,SampleData,DemandLambda,OrderLambda,poisson,empirical,chatGPT
1,1,"[(4, 2)]",4.328913177277883,6.263788682301308,2.0,2,4
1,2,"[(20, 3)]",2.504584425852559,14.432919340750901,3.0,3,20
1,3,"[(10, 7)]",3.6461776311629848,14.458808180227628,8.0,7,10
1,4,"[(4, 4)]",5.907280388546298,5.868230245403957,19.0,4,4
1,5,"[(9, 2)]",1.5898605513329287,7.863144388910936,2.0,2,9
1,6,"[(6, 3)]",1.4671069922815612,5.2152152172488115,3.0,3,6
1,7,"[(3, 3)]",5.907897392919793,1.5798569151133615,17.0,3,3
1,8,"[(5, 1)]",1.6341316160452473,5.356746686271215,1.0,1,5
1,9,"[(8, 8)]",9.666173983362588,8.522111399872593,26.0,8,8
1,10,"[(15, 12)]",8.523771682946139,16.481119485438356,13.0,12,13
1,11,"[(12, 4)]",5.4964891011816,8.199619861287843,5.0,4,12
1,12,"[(23, 12)]",8.68152399411145,16.014695360484502,13.0,12,23
1,13,"[(4, 4)]",9.00748419878503,6.304269212403655,19.0,4,4
1,14,"[(6, 0)]",1.6711289272564263,9.632370795511289,nan,0,6
1,15,"[(12, 1)]",1.6323799882793997,12.728287187926538,1.0,1,12
1,16,"[(18, 3)]",6.909922432164501,17.071833002670832,3.0,3,4
1,17,"[(3, 3)]",5.0402768585875135,4.639366362705025,17.0,3,3
1,18,"[(19, 3)]",2.2828701787605574,18.74871168055654,3.0,3,19
1,19,"[(4, 3)]",5.629397601349558,5.603867110795604,3.0,3,4
1,20,"[(3, 3)]",7.115160609505786,3.962713335736966,17.0,3,3
2,1,"[(1, 1), (1, 1)]",7.205365438840933,1.9212396612471432,14.0,1,2
2,2,"[(16, 6), (16, 1)]",5.24908384188158,16.76149979219977,4.0,6,14
2,3,"[(1, 1), (1, 1)]",1.8071329162048755,2.092838473050034,14.0,1,2
2,4,"[(15, 5), (15, 6)]",5.514383246483798,13.440743835183637,6.0,6,13
2,5,"[(16, 9), (16, 9)]",7.789705850798756,14.604742303949845,10.0,9,16
2,6,"[(5, 5), (5, 5)]",5.65210827938733,6.265252281884976,22.0,5,5
2,7,"[(4, 4), (4, 4)]",9.972884151450964,5.3169612898157546,20.0,4,4
2,8,"[(13, 6), (13, 2)]",5.278439653308983,15.960991994736572,5.0,6,9
2,9,"[(11, 5), (11, 6)]",6.622518667554789,7.036906245279246,6.0,6,10
2,10,"[(3, 2), (3, 3)]",1.6679169418780506,3.68445582665998,4.0,3,3
2,11,"[(3, 2), (3, 3)]",3.230314673778998,4.587780029968695,4.0,3,4
2,12,"[(17, 6), (17, 5)]",6.418025587060445,13.744338097659861,6.0,6,15
2,13,"[(5, 5), (5, 5)]",8.984021372974517,3.5635292539053847,22.0,5,6
2,14,"[(11, 5), (11, 1)]",4.062441801148156,11.232925436438071,3.0,5,10
2,15,"[(0, 0), (0, 0)]",6.729398618898566,1.1586593976758353,nan,0,The optimal order quantity for the next day is 0.
2,16,"[(18, 6), (18, 11)]",6.4673500354286055,14.715826257582496,9.0,11,14
2,17,"[(4, 1), (4, 3)]",1.7897927810455472,10.170307571757663,2.0,3,5
2,18,"[(4, 4), (4, 2)]",1.6267166115468101,6.1609808558441435,5.0,4,5
2,19,"[(20, 7), (20, 6)]",6.5261963071853755,15.629626220565399,7.0,7,16
2,20,"[(12, 6), (12, 5)]",8.235004426137564,7.178989529758983,6.0,6,10
3,1,"[(13, 1), (13, 3), (13, 2)]",2.0702195837037785,11.40537526058458,2.0,2,13
3,2,"[(5, 5), (5, 5), (5, 5)]",8.568403715148891,5.3701851359293675,22.0,5,5
3,3,"[(13, 5), (13, 4), (13, 5)]",4.861490042655726,16.041246344390576,5.0,5,13
3,4,"[(9, 6), (9, 8), (9, 9)]",7.87471437557282,7.963692270645742,9.0,8,10
3,5,"[(1, 1), (1, 1), (1, 1)]",5.6618053154977135,4.119775369696144,14.0,1,2
3,6,"[(14, 4), (14, 6), (14, 5)]",4.808365719490848,11.92743624642793,6.0,5,10
3,7,"[(11, 5), (11, 6), (11, 10)]",6.820324828132664,7.226913708518042,8.0,6,10
3,8,"[(7, 2), (7, 2), (7, 1)]",1.3934395401662865,7.894348691800286,2.0,2,6
3,9,"[(14, 11), (14, 5), (14, 3)]",6.567500228539896,12.571903902797619,7.0,5,13
3,10,"[(14, 14), (14, 8), (14, 8)]",9.705096112919989,11.550918559446753,12.0,8,12
3,11,"[(7, 2), (7, 2), (7, 2)]",2.662677661301866,9.55142128058343,2.0,2,7
3,12,"[(4, 4), (4, 4), (4, 4)]",6.405630145094352,6.50891762405315,20.0,4,4
3,13,"[(14, 5), (14, 7), (14, 6)]",8.046521080757088,14.354473871897424,7.0,6,12
3,14,"[(6, 6), (6, 2), (6, 2)]",2.9572603665953956,4.8512741499283525,4.0,2,6
3,15,"[(15, 2), (15, 0), (15, 1)]",1.4334760804718312,19.625135558394103,1.0,1,13
3,16,"[(10, 2), (10, 2), (10, 4)]",2.6847257650980656,6.949134759357415,3.0,2,10
3,17,"[(24, 6), (24, 4), (24, 3)]",5.000205804957567,19.393231156151682,5.0,4,24
3,18,"[(10, 9), (10, 9), (10, 4)]",8.414323280426157,10.088189519647372,8.0,9,9
3,19,"[(19, 4), (19, 1), (19, 4)]",1.915926082709903,11.253894417491518,3.0,4,19
3,20,"[(11, 9), (11, 11), (11, 11)]",8.12291066823623,13.990641387696584,14.0,11,10
4,1,"[(6, 4), (6, 4), (6, 5), (6, 4)]",4.316113483792058,5.094316729430632,5.0,4,6
4,2,"[(2, 2), (2, 2), (2, 2), (2, 2)]",7.803215493925954,2.964330784622323,17.0,2,2
4,3,"[(15, 4), (15, 5), (15, 1), (15, 5)]",3.322978689483676,18.055642113665634,4.0,5,10
4,4,"[(0, 0), (0, 0), (0, 0), (0, 0)]",5.031566132994209,1.2037906528629894,nan,0,0
4,5,"[(3, 3), (3, 3), (3, 2), (3, 3)]",4.4574791311681405,2.343670133015901,6.0,3,4
4,6,"[(20, 11), (20, 9), (20, 5), (20, 10)]",9.438477408696743,17.582782632707126,10.0,10,15
4,7,"[(18, 5), (18, 8), (18, 10), (18, 10)]",8.287908605383882,13.621131023138833,9.0,10,18
4,8,"[(26, 4), (26, 9), (26, 7), (26, 8)]",6.715131719367885,17.90831002010982,8.0,8,26
4,9,"[(16, 7), (16, 4), (16, 6), (16, 7)]",6.5304172540659415,14.936215988275103,7.0,7,16
4,10,"[(8, 2), (8, 1), (8, 2), (8, 2)]",1.4603403103990966,8.945299685371095,2.0,2,7
4,11,"[(11, 3), (11, 4), (11, 3), (11, 2)]",3.1994032593086263,10.872958355614653,3.0,3,10
4,12,"[(7, 3), (7, 2), (7, 2), (7, 4)]",3.562697766664377,4.709144600128667,3.0,3,6
4,13,"[(12, 2), (12, 4), (12, 3), (12, 4)]",2.864924610322497,12.68349087639752,4.0,4,12
4,14,"[(10, 3), (10, 3), (10, 4), (10, 5)]",3.270631621010991,8.563398757933022,4.0,4,9
4,15,"[(6, 1), (6, 1), (6, 3), (6, 4)]",3.5247864832989872,3.299421276431862,3.0,3,4
4,16,"[(9, 1), (9, 6), (9, 0), (9, 5)]",2.9918422686897994,14.08325960130714,3.0,5,9
4,17,"[(13, 6), (13, 7), (13, 2), (13, 3)]",4.64416541932796,11.606572794866356,5.0,6,10
4,18,"[(4, 4), (4, 4), (4, 4), (4, 4)]",7.7753298521874585,4.442813612521158,21.0,4,4
4,19,"[(16, 10), (16, 10), (16, 12), (16, 11)]",9.09183412129409,12.97857369957633,12.0,11,16
4,20,"[(18, 5), (18, 3), (18, 1), (18, 2)]",2.097797738223383,14.533426559545836,3.0,3,14
5,1,"[(5, 0), (5, 3), (5, 2), (5, 1), (5, 3)]",2.713190515792457,4.131088179041614,2.0,3,4
5,2,"[(16, 5), (16, 8), (16, 6), (16, 9), (16, 3)]",7.7133645127811485,12.965695176802722,7.0,8,16
5,3,"[(13, 7), (13, 9), (13, 8), (13, 11), (13, 5)]",9.094310035974736,19.436340735092696,9.0,9,12
5,4,"[(6, 6), (6, 2), (6, 2), (6, 6), (6, 2)]",3.7266525995757727,5.550926512527744,5.0,6,5
5,5,"[(15, 10), (15, 7), (15, 12), (15, 12), (15, 6)]",9.207256485352836,12.672617857490888,10.0,12,13
5,6,"[(22, 7), (22, 6), (22, 3), (22, 1), (22, 1)]",4.480277208394609,16.0093293885949,4.0,6,16
5,7,"[(1, 1), (1, 1), (1, 1), (1, 1), (1, 1)]",3.6486805206218045,4.842449979891443,15.0,1,1
5,8,"[(4, 4), (4, 4), (4, 4), (4, 4), (4, 4)]",6.0267863473925845,7.361502295559209,21.0,4,4
5,9,"[(12, 1), (12, 11), (12, 5), (12, 2), (12, 8)]",5.115704856146148,10.41623999918265,6.0,8,10
5,10,"[(6, 6), (6, 6), (6, 5), (6, 6), (6, 5)]",4.938539254509953,10.140957125078573,8.0,6,6
5,11,"[(13, 3), (13, 1), (13, 1), (13, 5), (13, 4)]",3.5499256544212625,18.244967229008388,3.0,4,10
5,12,"[(6, 1), (6, 0), (6, 5), (6, 2), (6, 0)]",2.5938093600200687,4.133298629770916,2.0,2,6
5,13,"[(13, 3), (13, 2), (13, 2), (13, 2), (13, 4)]",3.317066536398487,14.236680917382767,3.0,3,10
5,14,"[(28, 5), (28, 5), (28, 8), (28, 6), (28, 7)]",7.273781574092342,19.07726937087994,7.0,7,28
5,15,"[(6, 5), (6, 6), (6, 6), (6, 6), (6, 2)]",7.540285267693111,3.745370884051989,7.0,6,6
5,16,"[(6, 0), (6, 4), (6, 6), (6, 3), (6, 4)]",3.634200103154578,6.752141187043828,4.0,4,5
5,17,"[(2, 2), (2, 2), (2, 2), (2, 2), (2, 2)]",3.2808828554797174,3.3102134469660505,17.0,2,2
5,18,"[(10, 3), (10, 1), (10, 7), (10, 1), (10, 2)]",2.674023184240734,18.88124021874082,3.0,3,8
5,19,"[(9, 8), (9, 6), (9, 8), (9, 7), (9, 5)]",6.701449300519089,18.108826617506864,8.0,8,9
5,20,"[(6, 3), (6, 2), (6, 4), (6, 6), (6, 5)]",4.664910327624834,10.73074807950081,5.0,5,6
