day,idx,SampleData,DemandLambda,OrderLambda,poisson,empirical,chatGPT
1,1,"[(4, 4)]",2.037997212223341,10.358779623665015,19.0,4,4
1,2,"[(7, 0)]",1.2094694725458361,11.514816492415093,nan,0,7
1,3,"[(17, 5)]",6.948536332497994,15.80621366289681,6.0,5,17
1,4,"[(23, 6)]",8.556304693749134,19.163913546713495,7.0,6,17
1,5,"[(2, 2)]",2.6678332920813186,1.55098197102418,15.0,2,3
1,6,"[(16, 9)]",9.853102302130761,14.117117709672726,10.0,9,16
1,7,"[(19, 9)]",5.002750053590585,18.649709165766296,10.0,9,10
1,8,"[(23, 5)]",5.513115959433109,14.504229519835738,6.0,5,23
1,9,"[(3, 3)]",4.330522653720606,2.71853612107602,17.0,3,3
1,10,"[(5, 0)]",2.421634504748451,3.8214345944545123,nan,0,5
1,11,"[(10, 8)]",8.012675104934576,5.291930490488591,9.0,8,10
1,12,"[(18, 2)]",3.825948476523781,15.210328395054502,2.0,2,18
1,13,"[(5, 5)]",8.577151841973734,3.8537540103654884,21.0,5,5
1,14,"[(20, 17)]",9.241208867739322,19.728564774645495,18.0,17,18
1,15,"[(4, 4)]",7.640237448625008,4.581373919255395,19.0,4,4
1,16,"[(15, 6)]",3.998892962804394,17.286529116747168,7.0,6,15
1,17,"[(3, 3)]",2.756611320465541,4.244550774937237,17.0,3,3
1,18,"[(2, 2)]",1.2242486473681646,2.6907054911620105,15.0,2,2
1,19,"[(8, 1)]",3.442417548564771,11.468026932087483,1.0,1,8
1,20,"[(16, 0)]",1.0066636833540965,15.063603824554598,nan,0,16
2,1,"[(11, 4), (5, 3)]",2.6413968621418507,7.562396275108792,4.0,4,7
2,2,"[(18, 2), (18, 14)]",7.287221815565404,15.547186736046083,9.0,14,16
2,3,"[(14, 0), (5, 4)]",2.8359628036085684,8.50206470304175,2.0,4,10
2,4,"[(4, 4), (12, 12)]",9.095445610149758,7.975455013350763,6.0,12,8
2,5,"[(1, 1), (4, 4)]",4.325672629638659,2.6171939575294094,2.0,4,4
2,6,"[(18, 4), (28, 3)]",4.089755270547663,19.25074705966596,4.0,4,20
2,7,"[(3, 2), (6, 1)]",2.038859837116948,4.281610121245683,2.0,2,4
2,8,"[(15, 5), (10, 2)]",3.3906310885296924,13.313716960935656,4.0,5,13
2,9,"[(9, 8), (14, 8)]",8.155039664878029,12.571267108448605,9.0,8,10
2,10,"[(11, 8), (13, 8)]",9.524869664377418,11.172350135393499,9.0,8,10
2,11,"[(6, 6), (10, 8)]",7.387255114069771,8.659816419191285,8.0,8,7
2,12,"[(10, 1), (8, 0)]",1.8712605776544375,10.210130511320607,1.0,1,8
2,13,"[(7, 4), (12, 6)]",7.446340711050357,12.319884171789615,6.0,6,9
2,14,"[(15, 1), (7, 3)]",2.512280799166773,7.862085873852436,2.0,3,8
2,15,"[(8, 2), (7, 2)]",1.9297590188872458,4.8605697293879455,2.0,2,6
2,16,"[(4, 1), (2, 2)]",2.67657592305562,4.266204367419202,2.0,2,3
2,17,"[(5, 3), (6, 6)]",6.0932374931388855,5.168252955714026,5.0,6,6
2,18,"[(8, 5), (5, 5)]",4.596286776615505,6.807568760887674,6.0,5,6
2,19,"[(8, 2), (11, 3)]",3.8488743509592562,8.988907397160705,3.0,3,10
2,20,"[(9, 9), (6, 6)]",9.4222877427194,6.465162557505379,12.0,9,7
3,1,"[(3, 2), (8, 0), (8, 2)]",1.9870229487825064,4.130808002428795,2.0,2,4
3,2,"[(17, 10), (13, 8), (21, 10)]",8.78490028501643,18.790854296746502,10.0,10,18
3,3,"[(15, 4), (16, 2), (14, 1)]",2.8462272733378704,17.128227200401504,3.0,2,14
3,4,"[(11, 0), (12, 2), (7, 4)]",1.7270673202118605,12.695783721818945,2.0,2,8
3,5,"[(17, 1), (18, 2), (16, 2)]",1.8636027841249887,16.447561113232794,2.0,2,17
3,6,"[(1, 1), (1, 1), (2, 0)]",1.68301628208801,2.2950009702299647,3.0,1,2
