day,idx,SampleData,DemandLambda,OrderLambda,poisson,empirical,chatGPT,poisson_cost,empirical_cost,ChatGPT_cost
1,1,"[(4, 2)]",4.328913177277883,6.263788682301308,2.0,2,4,17.174719409463982,17.174719409463982,9.405740406300914
1,2,"[(20, 3)]",2.504584425852559,14.4329193407509,3.0,3,20,6.389012568010909,6.389012568010909,69.78168157240157
1,3,"[(10, 7)]",3.6461776311629848,14.458808180227628,8.0,7,10,17.590172978723945,13.941082001198017,25.423163831638316
1,4,"[(4, 4)]",5.907280388546298,5.868230245403957,19.0,4,4,52.37077081597417,16.06776017257143,16.06776017257143
1,5,"[(9, 2)]",1.5898605513329287,7.863144388910936,2.0,2,9,4.645008321246669,4.645008321246669,29.300328972334995
1,6,"[(6, 3)]",1.4671069922815612,5.215215217248812,3.0,3,6,6.777758015520894,6.777758015520894,18.08328423548118
1,7,"[(3, 3)]",5.907897392919793,1.5798569151133617,17.0,3,3,44.368678083895176,21.314908787439833,21.314908787439833
1,8,"[(5, 1)]",1.6341316160452473,5.356746686271215,1.0,1,5,5.808394765745202,5.808394765745202,13.497598203458015
1,9,"[(8, 8)]",9.666173983362588,8.522111399872593,26.0,8,8,65.33535277568612,17.59275156554156,17.59275156554156
1,10,"[(15, 12)]",8.523771682946139,16.481119485438356,13.0,12,13,19.077726834311914,16.093683480530665,19.077726834311914
1,11,"[(12, 4)]",5.4964891011816,8.199619861287843,5.0,4,12,10.944478136878782,14.005320358416112,26.08850835107361
1,12,"[(23, 12)]",8.68152399411145,16.014695360484502,13.0,12,23,18.615574165813566,15.740813018177583,57.27411920543276
1,13,"[(4, 4)]",9.00748419878503,6.304269212403655,19.0,4,4,39.98976286865728,35.36757153536891,35.36757153536891
1,15,"[(12, 1)]",1.6323799882793997,12.728287187926538,1.0,1,12,5.8030494995126265,5.8030494995126265,40.79011794091492
1,16,"[(18, 3)]",6.909922432164501,17.071833002670832,3.0,3,4,27.81456436421992,27.81456436421992,21.767068475328852
1,17,"[(3, 3)]",5.0402768585875135,4.639366362705025,17.0,3,3,47.83871034320996,16.110360914748224,16.110360914748224
1,18,"[(19, 3)]",2.282870178760557,18.74871168055654,3.0,3,19,6.116345457705958,6.116345457705958,66.44887615919275
1,19,"[(4, 3)]",5.629397601349558,5.603867110795604,3.0,3,4,19.58641687696853,19.58641687696853,14.649084623336007
1,20,"[(3, 3)]",7.115160609505786,3.962713335736966,17.0,3,3,39.5465878795154,29.185651106805494,29.185651106805494
2,1,"[(1, 1), (1, 1)]",7.205365438840933,1.9212396612471432,14.0,1,2,27.316581007711882,43.444668833976536,36.51174369778803
2,2,"[(16, 6), (16, 1)]",5.24908384188158,16.76149979219977,4.0,6,14,12.85865382076221,9.533279205906442,35.00761624781526
2,3,"[(1, 1), (1, 1)]",1.8071329162048757,2.092838473050034,14.0,1,2,48.4467461222301,7.062154741565162,5.204006211407295
2,4,"[(15, 5), (15, 6)]",5.514383246483798,13.440743835183635,6.0,6,13,9.790777008473233,9.790777008473233,29.969468955704535
2,5,"[(16, 9), (16, 9)]",7.789705850798756,14.604742303949845,10.0,9,16,12.899822897238431,11.733954985298455,32.89401702341798
2,6,"[(5, 5), (5, 5)]",5.65210827938733,6.265252281884976,22.0,5,5,65.38997052171862,11.439203412085815,11.439203412085815
