day,idx,SampleData,DemandLambda,OrderLambda,poisson,empirical,chatGPT,poisson_cost,empirical_cost,ChatGPT_cost
1,1,"[(4, 4)]",2.037997212223341,10.358779623665017,19.0,4,4,67.61388785318655,8.619540339752467,8.619540339752467
1,3,"[(17, 5)]",6.948536332497994,15.80621366289681,6.0,5,17,13.336839474282389,16.95612593296882,40.21105458816443
1,4,"[(23, 6)]",8.556304693749134,19.16391354671349,7.0,6,17,16.475499860045137,20.722999381064735,33.8357738727163
1,5,"[(2, 2)]",2.6678332920813186,1.55098197102418,15.0,2,3,49.28864237500381,8.147636080815046,6.676908704479701
1,6,"[(16, 9)]",9.85310230213076,14.117117709672726,10.0,9,16,13.488669671729738,15.24785385504247,25.11495507296806
1,7,"[(19, 9)]",5.002750053590585,18.649709165766296,10.0,9,10,20.230919872172237,16.581640671742775,20.230919872172237
1,8,"[(23, 5)]",5.513115959433109,14.504229519835738,6.0,5,23,9.789260673268931,10.995413942575441,69.94608357197009
1,9,"[(3, 3)]",4.330522653720606,2.71853612107602,17.0,3,3,50.66974254403034,12.317703676892211,12.317703676892211
1,11,"[(10, 8)]",8.012675104934576,5.291930490488591,9.0,8,10,11.807729491643132,12.30916224928917,12.673291558329465
1,12,"[(18, 2)]",3.825948476523781,15.210328395054502,2.0,2,18,14.132935235061387,14.132935235061387,56.682121742159694
1,13,"[(5, 5)]",8.577151841973734,3.853754010365488,21.0,5,5,49.69288640136954,26.25301296520452,26.25301296520452
1,14,"[(20, 17)]",9.241208867739322,19.72856477464549,18.0,17,18,35.097440890091214,31.17303942188545,35.097440890091214
1,15,"[(4, 4)]",7.640237448625008,4.581373919255395,19.0,4,4,45.44125202185071,26.324980873568936,26.324980873568936
1,16,"[(15, 6)]",3.998892962804394,17.286529116747168,7.0,6,15,12.900862119758198,10.110615695774376,43.99497215147319
1,17,"[(3, 3)]",2.756611320465541,4.244550774937237,17.0,3,3,56.90638683003532,6.79997942687568,6.79997942687568
1,18,"[(2, 2)]",1.2242486473681646,2.6907054911620105,15.0,2,2,53.56447274279444,4.420758706923697,4.420758706923697
1,19,"[(8, 1)]",3.442417548564771,11.468026932087485,1.0,1,8,17.383858906647124,17.383858906647124,18.353535926988545
2,1,"[(11, 4), (5, 3)]",2.6413968621418507,7.562396275108792,4.0,4,7,7.534693591784664,7.534693591784664,17.46659059121147
2,2,"[(18, 2), (18, 14)]",7.287221815565404,15.547186736046084,9.0,14,16,11.845222077271746,27.00410990481703,34.87668241202505
2,3,"[(14, 0), (5, 4)]",2.8359628036085684,8.50206470304175,2.0,4,10,8.835976610743216,7.4663743244736684,28.649419270347572
2,4,"[(4, 4), (12, 12)]",9.095445610149758,7.975455013350763,6.0,12,8,23.74377060427597,14.93415424517195,15.365461796069251
