day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT,poisson_cost,emprical_cost,ChatGPT_cost,ChatGPT_beat_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_poisson,ChatGPT_eqaul_emprical
1,1,9.60578796,3.828844045,19,4,5,37.61967687,39.44252984,32.85675044,1,1,,
1,2,7.053562145,13.78891347,12,11,15,20.36148377,16.97531667,31.83210827,,,,
1,3,3.678116528,7.00010702,3,3,7,9.476612998,9.476612998,13.86738664,,,,
1,4,5.730686654,7.644708458,15,2,3,37.08155374,26.38706801,20.21363071,1,1,,
1,5,8.431416354,16.33055869,12,11,16,16.31130562,13.91231687,30.39376478,,,,
1,7,9.299818884,1.044317693,15,2,3,23.42362471,51.10999174,44.16385205,,1,,
1,8,7.727658397,12.80469822,6,5,14,16.558818,21.16657259,25.34855184,,,,
1,9,6.210010786,8.790225591,5,4,9,13.53911538,17.70170428,13.31029536,1,1,,
1,10,5.818609957,12.80423034,3,3,9,20.757928,20.757928,14.21035108,1,1,,
1,11,5.522926322,6.660767086,3,3,9,18.94097005,18.94097005,14.99872067,1,1,,
1,12,2.564398977,7.52479496,3,3,8,6.431639723,6.431639723,21.74956259,,,,
1,13,8.97465577,16.92185984,8,7,15,14.9448081,18.34919288,24.55913322,,,,
1,14,7.674559602,18.98220504,8,7,19,11.70918945,13.21761994,45.30421164,,,,
1,15,4.578504729,19.39493711,6,5,8,9.4850369,8.898839129,14.49358235,,,,
1,16,8.50568148,2.132295602,17,3,4,34.03446573,38.66463028,31.99453859,1,1,,
1,17,5.809027868,11.9323662,7,6,10,10.236478,10.22980873,17.44940583,,,,
1,18,8.408080736,18.09886737,12,11,17,16.3675416,13.94717868,34.41810802,,,,
1,19,1.426536466,14.6945996,6,5,10,18.24991215,14.31121905,34.00468457,,,,
1,20,4.123719136,12.29289193,1,1,10,22.01252646,22.01252646,23.55417995,,,,
2,1,3.626638284,1.38214667,4,4,4,7.847321807,7.847321807,7.847321807,,,1,1
2,2,2.048343463,8.94882916,2,3,10,5.889291172,6.224831117,31.75139465,,,,
2,3,4.803563162,13.45732116,6,5,12,9.409629386,9.254369064,28.805477,,,,
2,4,3.170569442,16.49207266,4,7,10,7.454804903,15.53932443,27.320187,,,,
2,5,6.85640692,12.60742684,8,8,10,11.01548203,11.01548203,14.531644,,,,
2,6,6.280410479,11.80936424,6,6,15,11.25459413,11.25459413,34.89119092,,,,
2,7,1.924012105,16.30598096,3,3,12,6.113648849,6.113648849,39.98761928,,,,
2,8,6.338772233,1.311626572,16,2,2,38.64994916,30.53197914,30.53197914,1,,,1
2,9,4.991313376,3.352787018,6,6,6,9.409738589,9.409738589,9.409738589,,,1,1
2,10,6.227876231,4.068601848,22,5,5,63.08819779,13.61359449,13.61359449,1,,,1
2,11,5.186599994,6.34635843,5,4,4,10.07757904,12.58462927,12.58462927,,,,1
2,12,7.136175839,18.37054916,12,16,16,20.08344486,35.4756499,35.4756499,,,,1
2,13,8.89176987,5.904906892,23,6,7,56.43323625,22.57815606,17.96316029,1,1,,
2,14,7.645855406,8.376084353,22,5,6,57.4166108,20.70062437,16.18523328,1,1,,
2,15,5.277149308,18.4443413,9,9,14,15.71569341,15.71569341,34.89557577,,,,
2,16,5.110326031,8.359265679,6,8,10,9.45633954,13.06564962,19.83992244,,,,
2,17,9.528437858,15.30302786,13,12,13,16.46429236,14.29007638,16.46429236,,,1,
2,18,8.648016027,6.748652015,23,6,7,57.40811714,21.22160641,16.86981468,1,1,,
