day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT,poisson_cost,emprical_cost,ChatGPT_cost,ChatGPT_beat_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_emprical,ChatGPT_eqaul_poisson
1,2,2.313066921,5.979181432,1,1,6,9.850622371,9.850622371,14.8004075,,,,
1,3,9.298432945,15.99387354,9,8,10,13.70074801,16.11338766,12.73042099,1,1,,
1,4,7.907674588,17.54338761,7,6,15,13.97841892,17.40581357,28.51284612,,,,
1,5,5.32694667,6.982910278,22,6,6,66.6890771,9.592360411,9.592360411,1,,1,
1,6,6.114249861,11.26996976,8,7,12,11.3271246,10.31779843,23.72958687,,,,
1,7,5.006082997,12.40870468,7,6,12,10.79730036,9.422582618,28.00731412,,,,
1,8,4.71385027,4.493065867,2,2,3,19.64803173,19.64803173,14.30894244,1,1,,
1,9,9.976610188,13.11206353,6,5,9,29.06348291,35.3157445,15.64708227,1,1,,
1,10,6.796490426,10.02868723,3,3,13,27.06217732,27.06217732,25.00571005,1,1,,
1,11,8.523557515,7.71619325,19,4,4,41.91560356,32.11380331,32.11380331,1,,1,
1,12,8.054774253,1.029856741,1,1,2,49.38668745,49.38668745,42.41832866,1,1,,
1,13,6.947691893,9.873963055,3,3,10,28.06583164,28.06583164,14.32670424,1,1,,
1,14,1.827094353,5.46552208,1,1,6,7.145948067,7.145948067,16.70584124,,,,
1,15,7.693316481,12.42835342,29,10,10,85.22669843,13.01836909,13.01836909,1,,1,
1,16,5.867398318,4.718111454,22,6,6,64.52979059,10.33489408,10.33489408,1,,1,
1,17,5.799435183,10.70292507,7,6,10,10.23668328,10.21312587,17.4803198,,,,
1,18,7.05209382,10.9120278,7,6,8,11.58184265,13.72004728,11.08235249,1,1,,
1,19,5.398309461,12.20617523,2,2,8,24.15090071,24.15090071,12.42680742,1,1,,
1,20,5.115563762,19.37949338,3,3,17,16.53813683,16.53813683,47.53753224,,,,
2,1,3.749955182,19.74030761,5,8,23,8.53246511,17.23246114,76.97774399,,,,
2,2,6.343532289,7.433832694,17,14,15,42.62742065,30.66675465,34.64083919,1,,,
2,3,9.154867989,9.136053393,9,9,10,13.36887804,13.36887804,12.60601846,1,1,,
2,4,3.690494157,1.119097602,1,1,2,19.07141734,19.07141734,13.3624409,1,1,,
2,5,4.332882111,13.20290613,5,5,16,8.625981527,8.625981527,46.66255486,,,,
2,6,6.757586236,6.010858244,5,4,6,16.01251854,20.85341913,12.67263978,1,1,,
2,7,6.507083207,12.50746539,8,9,10,11.05202976,12.75018237,15.39482614,,,,
2,8,6.152001588,7.420127229,6,6,8,10.93788081,10.93788081,11.28997254,,,,
2,9,5.825400718,14.23553481,8,8,16,11.68090393,11.68090393,40.69971277,,,,
2,10,6.583484344,12.98111565,9,10,15,12.62406234,15.19535972,33.68817397,,,,
2,11,2.44985682,13.13435782,5,6,10,10.73559205,14.33567788,30.17558596,,,,
2,12,3.702506676,7.771313293,1,4,4,19.15117509,8.001826277,8.001826277,1,,1,
2,14,9.463271728,16.89401004,13,17,14,16.60795751,30.32275763,19.51221582,,1,,
2,15,3.201647722,5.55364988,22,5,6,75.11120253,9.055802722,11.9066256,1,,,
2,16,1.764064308,12.40104025,1,1,19,6.881388561,6.881388561,68.46281586,,,,
2,17,3.309909603,11.80149398,6,8,10,11.59206674,18.83462087,26.7639037,,,,
2,18,7.284052513,17.94308937,7,8,15,12.12071147,11.24192632,30.92782124,,,,
2,19,5.320446101,12.04404385,5,5,10,10.42691437,10.42691437,19.09050331,,,,
2,20,6.948864759,9.960990293,12,9,9,20.71826537,12.13196365,12.13196365,1,,1,
3,1,6.98083288,9.817313241,6,6,8,13.45437606,13.45437606,11.05011845,1,1,,
3,2,8.936199485,17.08722387,11,11,19,13.32258459,13.32258459,40.2730321,,,,
3,3,5.156743558,13.74605582,5,5,14,10.0040604,10.0040604,35.37631875,,,,
3,4,8.058513657,6.070742017,10,6,7,12.63504105,18.14196676,14.51105519,,1,,
3,5,5.173780947,15.95749945,3,3,10,16.87215397,16.87215397,19.61153004,,,,
3,6,5.083573854,19.20711173,5,6,18,9.830825363,9.445703587,51.66517211,,,,
3,7,2.759805972,9.879888326,4,3,10,7.529749928,6.804736609,28.95503835,,,,
3,8,9.546596511,16.2316642,7,7,16,21.19235711,21.19235711,26.20897571,,,,
3,9,6.791228005,2.661225337,18,3,4,44.83630981,27.02735679,21.05393051,1,1,,
3,10,2.521713818,9.806454807,2,1,9,7.448381775,11.30553863,25.90163474,,,,
3,11,5.647791654,8.043702256,2,4,6,25.82176069,14.73980287,9.967036028,1,1,,
3,12,4.157399625,1.468048818,5,2,2,8.529951281,16.13040565,16.13040565,,,1,
3,13,7.99354719,19.44782425,13,10,12,20.74731221,12.68985598,17.44564507,1,,,
3,14,5.802510056,16.94006553,6,5,10,10.21845535,11.96130322,17.47040378,,,,
3,15,8.182192288,7.04622128,12,8,9,16.93693705,12.67624777,11.91472433,1,1,,
3,16,5.712364416,15.76342369,6,6,12,10.06933685,10.06933685,25.25589664,,,,
3,17,6.567781045,7.069007228,9,5,7,12.64935719,15.11319625,10.74003116,1,1,,
3,18,3.916391956,2.713732802,5,3,4,8.474273425,10.4170256,8.372083804,1,1,,
3,19,8.777646768,3.631496417,24,6,6,60.8894916,21.9376424,21.9376424,1,,1,
3,20,9.253916033,15.30320917,11,11,13,13.11905882,13.11905882,17.0955492,,,,
4,1,1.244670344,1.919601438,1,1,2,4.009879981,4.009879981,4.386297629,,,,
4,2,6.147534227,5.95977371,3,6,10,22.83433214,10.92736571,16.403584,1,,,
4,3,2.061273413,12.94344713,2,2,12,5.917600949,5.917600949,39.65532928,,,,
4,4,7.267032626,19.15069003,6,6,22,14.56021936,14.56021936,58.93188359,,,,
4,5,8.262146135,17.31983957,11,12,16,14.17968359,16.73022339,31.04865511,,,,
4,6,9.613056077,17.68952342,13,10,18,16.28368225,13.10682152,33.6441898,,,,
4,7,4.02733552,18.7137813,4,3,13,8.638797275,10.92712713,35.89109922,,,,
4,8,2.740835058,17.35330905,5,6,19,9.986667313,13.34069005,64.95505801,,,,
4,9,7.611599802,12.33324249,7,8,10,13.0250746,11.61702485,13.12803736,,,,
4,10,5.50290445,5.884198383,7,6,6,10.31897223,9.777151531,9.777151531,1,,1,
4,11,6.716937677,7.178444281,8,6,6,11.00668999,12.5382001,12.5382001,,,1,
4,12,3.251940808,17.82881889,3,3,19,7.95792442,7.95792442,62.92411619,,,,
4,13,1.03177128,19.03014718,2,2,17,4.778464056,4.778464056,62.80093452,,,,
4,14,6.14474378,12.69392322,7,8,13,10.33472069,11.2969448,27.49909451,,,,
4,15,2.766476783,19.55002519,3,2,12,6.814742294,8.546698074,36.91029168,,,,
4,16,7.129316685,1.296463622,1,1,2,42.91313141,42.91313141,35.98482464,1,1,,
4,17,5.844445083,6.657197897,12,6,6,24.74971147,10.29284071,10.29284071,1,,1,
4,18,7.612147418,14.65240565,9,9,13,11.72947446,11.72947446,22.04243773,,,,
4,19,8.9563998,3.445673351,17,2,2,32.27384809,48.71017778,48.71017778,,,1,
4,20,8.279867748,8.921637456,4,6,6,30.49430188,19.26208352,19.26208352,1,,1,
5,1,6.058294692,18.01976398,6,7,19,10.72451385,10.29099608,51.76685425,,,,
5,2,7.430661663,6.18412067,2,5,5,38.07559228,19.50074926,19.50074926,1,,1,
5,3,6.303670108,4.088053481,6,4,3,11.31492211,18.22300911,23.83574911,,,,
5,4,6.372628988,12.10669634,9,8,10,12.99053132,11.11917968,15.75910465,,,,
5,5,5.287960574,2.98145722,1,5,5,30.05729599,10.33919501,10.33919501,1,,1,
5,6,4.181144476,6.891951152,6,5,6,9.860569508,8.539293518,9.860569508,,,,1
5,7,1.478536233,9.624784966,1,1,7,5.328720486,5.328720486,21.96596946,,,,
5,8,4.577122903,3.943674344,6,4,4,9.485898249,10.20217218,10.20217218,,,1,
5,9,2.103106423,12.18796614,1,3,14,8.802984477,6.189393344,47.42986867,,,,
5,10,5.390460657,11.79887443,5,5,10,10.6307684,10.6307684,18.85002664,,,,
5,11,7.054799554,7.599456053,8,6,7,11.08370704,13.73023557,11.58763087,,1,,
5,12,5.571002022,1.172322932,1,1,2,32.03042378,32.03042378,25.30608874,1,1,,
5,13,5.022822128,3.494937495,14,3,3,35.91121814,16.011881,16.011881,1,,1,
5,14,7.953996273,4.650848173,10,6,6,12.72621645,17.62931102,17.62931102,,,1,
5,15,1.474024666,6.513508142,1,2,5,5.31474302,4.668522657,14.12436988,,,,
5,16,9.0317124,12.64901136,12,10,14,15.04663133,12.52306306,20.8245712,,,,
5,17,9.552834252,10.70856554,15,9,7,22.5702629,14.35918447,21.22496095,1,,,
5,18,6.642559647,19.6065757,8,8,15,11.01368312,11.01368312,33.45402208,,,,
5,19,8.777004095,5.033609438,9,5,5,12.63677367,27.50495324,27.50495324,,,1,
5,20,6.161651438,13.54621094,7,7,12,10.34480676,10.34480676,23.55204574,,,,
,,,,,,,,,,ChatGPT_beat_poisson,ChatGPT_eqaul_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_emprical
,,,,,,,,,,37,22,19,1
,,,,,,,,,rate,0.37755102,0.224489796,0.193877551,0.010204082
,,,,,,,,,,,,,
,,,,,,,,,,GPT>=Poisson,GPT>=empirical,,
,,,,,,,,,,0.602040816,0.204081633,,
