day,idx,SampleData,DemandLambda,OrderLambda,poisson,empirical,chatGPT,poisson_cost,empirical_cost,ChatGPT_cost
1.0,1.0,"[(13, 3)]",3.643536099,8.401213659,3.0,3.0,13,9.292861414290556,9.292861414290556,37.41693315736355
1.0,2.0,"[(11, 11)]",9.57974257,6.78736584,30.0,11.0,11,81.68102899798129,13.05034039409496,13.05034039409496
1.0,3.0,"[(25, 4)]",4.860164581,18.94245454,5.0,4.0,25,9.356218833238342,11.236050439470057,80.55289522800786
1.0,4.0,"[(8, 8)]",8.832109584,3.421308721,26.0,8.0,8,68.67156558667845,14.472855971678591,14.472855971678591
1.0,5.0,"[(4, 1)]",1.185498353,4.887300992,1.0,1.0,4,3.9135891387701545,3.9135891387701545,11.294242419925377
1.0,6.0,"[(13, 5)]",5.308214401,16.24190993,6.0,5.0,13,9.57710732370571,10.393667458990736,30.784040589193722
1.0,7.0,"[(9, 1)]",4.384463884,8.261745782,1.0,1.0,9,23.810212647082267,23.810212647082267,18.70751410312529
1.0,8.0,"[(13, 4)]",3.95471543,19.96308634,5.0,4.0,13,8.468701166052664,8.448364892922115,36.17915960142922
1.0,9.0,"[(18, 10)]",8.590413596,11.41154669,11.0,10.0,18,13.69230576896761,12.405961292938015,37.665245256686774
1.0,10.0,"[(10, 10)]",7.915481186,8.094501416,29.0,10.0,10,84.33801824465107,12.763662461524131,12.763662461524131
1.0,11.0,"[(12, 5)]",6.301486252,10.65561447,6.0,5.0,12,11.309219690549117,13.92497703099456,23.032011856407227
1.0,12.0,"[(16, 2)]",2.931638665,15.16209336,2.0,2.0,16,9.243982641845413,9.243982641845413,52.186587365989745
1.0,13.0,"[(10, 8)]",9.009832294,12.39298476,9.0,8.0,10,13.063380823360458,15.06544225171277,12.510623656864981
1.0,14.0,"[(19, 11)]",8.815103319,19.36285197,12.0,11.0,19,15.461112693570355,13.434838733020065,40.75464412719168
1.0,15.0,"[(3, 3)]",8.139653962,4.578057947,17.0,3.0,3,35.47656849148589,36.14550716915853,36.14550716915853
1.0,16.0,"[(3, 3)]",5.174557624,1.177854688,17.0,3.0,4,47.30153001397929,16.876628551947345,12.532437056514457
1.0,18.0,"[(24, 4)]",2.966126458,19.06701057,5.0,4.0,4,9.439991877223143,7.385090158076991,7.385090158076991
1.0,19.0,"[(16, 13)]",9.999521446,11.76736699,14.0,13.0,16,18.057480628952685,15.547986458161958,24.603753350673664
1.0,20.0,"[(2, 2)]",7.696039574,2.211947073,15.0,2.0,2,29.32648008575149,39.92045804476099,39.92045804476099
2.0,1.0,"[(12, 2), (12, 2)]",2.35542086,14.97261831,2.0,2.0,10,6.900101001148686,6.900101001148686,30.55833237996345
2.0,2.0,"[(9, 8), (9, 9)]",4.759346427,6.167714726,11.0,9.0,10,25.02096229228923,17.390300063434175,21.128164497988873
2.0,3.0,"[(10, 7), (10, 1)]",4.58112058,7.415938772,5.0,7.0,8,8.902161699506069,11.511225658638102,14.485727698373324
2.0,4.0,"[(10, 3), (10, 6)]",3.963347042,14.0577844,5.0,6.0,8,8.467847973033148,10.172933192018347,16.470206584802117
2.0,5.0,"[(18, 12), (18, 4)]",9.703793862,14.87324812,9.0,12.0,16,14.791220844264908,14.091204281263101,25.64406185387415
2.0,6.0,"[(12, 7), (12, 3)]",4.332344336,19.70577378,6.0,7.0,10,9.673589242813078,12.048628167717812,22.74134739468081
2.0,7.0,"[(11, 8), (11, 5)]",6.254067301,9.567014553,7.0,8.0,10,10.40878814528283,11.200557396726081,16.09241746485476
2.0,8.0,"[(14, 11), (14, 6)]",8.030553013,13.20269065,9.0,11.0,13,11.816934093949904,14.599296171461747,20.625681444773697
2.0,9.0,"[(10, 10), (10, 10)]",9.897553491,5.284438282,30.0,10.0,10,80.4097864025061,13.568241593697563,13.568241593697563
2.0,10.0,"[(5, 3), (5, 5)]",2.882389337,9.580827731,6.0,5.0,6,12.857702814693994,9.63493573028219,12.857702814693994
2.0,11.0,"[(16, 6), (16, 6)]",6.850673975,16.66230829,7.0,6.0,14,11.183950465379192,12.989789875919698,28.683404366924954
2.0,12.0,"[(11, 8), (11, 6)]",5.598323522,11.42114781,8.0,8.0,10,12.043761540053223,12.043761540053223,18.139529422284298
2.0,13.0,"[(20, 1), (20, 1)]",1.26150335,9.336344254,1.0,1.0,20,4.037169915611042,4.037169915611042,72.48269492478462
2.0,14.0,"[(22, 3), (22, 4)]",1.515981144,18.38943679,4.0,4.0,19,10.036975787948752,10.036975787948752,68.87668606756901
2.0,15.0,"[(6, 1), (6, 6)]",4.236749289,6.709096716,5.0,6.0,6,8.565662448472091,9.78725315523654,9.78725315523654
2.0,16.0,"[(13, 13), (13, 8)]",8.03255641,10.20362981,16.0,13.0,13,31.942649366416337,20.619107034809804,20.619107034809804
2.0,17.0,"[(22, 9), (22, 3)]",5.967158703,18.44545427,7.0,9.0,18,10.256297315428716,13.847127495952234,48.13145698481963
2.0,18.0,"[(4, 4), (4, 4)]",7.391878667,3.410054347,20.0,4.0,4,50.43291914882863,24.746825441694643,24.746825441694643
2.0,19.0,"[(19, 8), (19, 5)]",6.162149636,16.81490851,7.0,8.0,17,10.345111560291704,11.280359922477789,43.35223905005981
2.0,20.0,"[(6, 3), (6, 3)]",2.978828543,10.46269549,3.0,3.0,5,7.181785216951498,7.181785216951498,9.411282312421628
3.0,1.0,"[(9, 9), (9, 7), (9, 9)]",9.857964228,11.01449657,13.0,9.0,9,15.800065106348404,15.263205050490479,15.263205050490479
3.0,2.0,"[(5, 3), (5, 1), (5, 4)]",1.802138124,1.513107581,3.0,3.0,4,6.302003509639545,6.302003509639545,9.175466173484951
3.0,3.0,"[(5, 5), (5, 4), (5, 5)]",5.991577606,7.818696905,8.0,5.0,5,11.460174054924684,12.660896496074626,12.660896496074626
3.0,4.0,"[(10, 5), (10, 10), (10, 5)]",7.113907973,10.78676342,10.0,5.0,10,13.978089740612925,17.804898203866063,13.978089740612925
3.0,5.0,"[(14, 4), (14, 6), (14, 6)]",3.719329553,17.41129237,6.0,6.0,10,10.653154850572546,10.653154850572546,25.139944007115574
3.0,6.0,"[(4, 4), (4, 4), (4, 3)]",6.340826362,4.227289209,7.0,4.0,4,10.484551049918446,18.434497311717053,18.434497311717053
3.0,7.0,"[(3, 3), (3, 3), (3, 3)]",3.180981365,1.628514365,18.0,3.0,3,59.224592587753435,7.770155481111429,7.770155481111429
3.0,8.0,"[(6, 6), (6, 6), (6, 6)]",8.708656901,4.597867003,24.0,6.0,6,61.165441251616684,21.555056437248727,21.555056437248727
3.0,9.0,"[(5, 5), (5, 5), (5, 5)]",7.131957903,4.59479258,22.0,5.0,5,59.47217871218072,17.8990408133659,17.8990408133659
3.0,10.0,"[(11, 3), (11, 5), (11, 11)]",7.823346063,13.22376238,8.0,5.0,10,11.951059841501065,21.717129925688642,12.861336537957058
3.0,11.0,"[(25, 11), (25, 5), (25, 8)]",9.372982916,19.16469284,9.0,8.0,15,13.884523861042414,16.40069075469997,23.17398521423376
3.0,12.0,"[(15, 3), (15, 7), (15, 7)]",7.273245757,18.62554322,6.0,7.0,14,14.585414021479478,12.093712118458951,27.0573703496751
3.0,13.0,"[(6, 6), (6, 6), (6, 6)]",6.551955296,4.490705423,24.0,6.0,6,69.79192221560369,12.017262017979125,12.017262017979125
3.0,14.0,"[(3, 2), (3, 3), (3, 3)]",3.262326061,6.051345281,5.0,3.0,4,8.953645874349483,7.986196437091009,7.475773933834135
3.0,15.0,"[(29, 2), (29, 5), (29, 5)]",4.755778573,15.08835022,5.0,5.0,29,9.173256902519991,9.173256902519991,96.96962177565632
3.0,16.0,"[(4, 0), (4, 4), (4, 4)]",4.26359368,5.362987358,5.0,4.0,4,8.58063528804396,9.224857137948321,9.224857137948321
3.0,17.0,"[(8, 8), (8, 3), (8, 8)]",7.824941966,10.82532322,12.0,8.0,8,17.924464634406505,11.953843013213087,11.953843013213087
3.0,18.0,"[(23, 4), (23, 3), (23, 5)]",5.092666028,19.34862235,5.0,4.0,23,9.85181132325691,12.182961440655841,71.62709280296076
3.0,19.0,"[(22, 3), (22, 4), (22, 5)]",4.172391631,18.87902982,5.0,4.0,22,8.535715836845268,8.985699833606926,71.29648655802349
3.0,20.0,"[(7, 5), (7, 4), (7, 7)]",5.586838211,8.625756506,7.0,5.0,7,10.278718794174134,11.22683702864282,10.278718794174134
4.0,1.0,"[(26, 12), (26, 4), (26, 9), (26, 6)]",7.714985209,18.36097356,9.0,9.0,13,11.726355426278658,11.726355426278658,21.68668509266226
4.0,2.0,"[(3, 3), (3, 3), (3, 3), (3, 3)]",5.681177063,1.807753942,19.0,3.0,3,53.27522348698351,19.90906217027783,19.90906217027783
4.0,3.0,"[(4, 4), (4, 4), (4, 4), (4, 4)]",7.971289917,6.160826833,21.0,4.0,4,52.11527873806948,28.466417277917703,28.466417277917703
4.0,4.0,"[(15, 4), (15, 11), (15, 6), (15, 14)]",9.466407138,15.911693,10.0,11.0,14,12.913756492238655,13.057966613371212,19.503112896130087
4.0,5.0,"[(7, 7), (7, 3), (7, 7), (7, 7)]",6.588412621,4.941198213,11.0,7.0,7,18.392054427116523,10.76766361708483,10.76766361708483
4.0,6.0,"[(13, 3), (13, 2), (13, 3), (13, 3)]",2.223965617,11.3641237,3.0,3.0,10,6.133239995868311,6.133239995868311,31.020502460989874
4.0,7.0,"[(15, 10), (15, 3), (15, 9), (15, 1)]",9.780829073,11.7157568,6.0,9.0,15,27.847759005209543,15.02322304676632,21.82708145681781
4.0,8.0,"[(14, 14), (14, 6), (14, 5), (14, 6)]",7.613377856,11.81876765,11.0,6.0,10,15.501154799042208,16.039233957398206,13.125551018876507
4.0,9.0,"[(4, 4), (4, 1), (4, 4), (4, 2)]",2.87319318,6.047458342,5.0,4.0,4,9.656943410124239,7.439671826880086,7.439671826880086
4.0,10.0,"[(11, 1), (11, 9), (11, 4), (11, 8)]",4.742324322,7.709731833,6.0,8.0,11,9.42392695936537,14.02597294362598,25.087388935192156
4.0,11.0,"[(13, 7), (13, 7), (13, 13), (13, 6)]",7.493401281,13.59438234,12.0,7.0,13,18.925844538578726,12.680226037667845,22.45919812338364
4.0,12.0,"[(8, 7), (8, 8), (8, 6), (8, 1)]",6.15849621,6.235015235,9.0,7.0,7,13.418894994624239,10.342886480251753,10.342886480251753
4.0,13.0,"[(11, 10), (11, 10), (11, 8), (11, 10)]",8.647779023,14.97191646,10.0,10.0,10,12.405253063233644,12.405253063233644,12.405253063233644
4.0,14.0,"[(17, 4), (17, 2), (17, 3), (17, 2)]",3.449257462,18.44057976,3.0,3.0,17,8.629544127906232,8.629544127906232,54.18253206954211
4.0,15.0,"[(20, 15), (20, 8), (20, 6), (20, 8)]",7.753778906,16.36776337,10.0,8.0,10,12.94258002976057,11.833623362302243,12.94258002976057
4.0,16.0,"[(18, 3), (18, 4), (18, 6), (18, 7)]",4.317489476,13.24674792,6.0,6.0,18,9.690220147984272,9.690220147984272,54.719875258563654
4.0,17.0,"[(4, 0), (4, 2), (4, 2), (4, 3)]",2.312363357,1.530122273,2.0,2.0,4,6.522613184257439,6.522613184257439,7.942792628842134
4.0,18.0,"[(7, 7), (7, 7), (7, 7), (7, 7)]",9.555838764,11.70909266,26.0,7.0,7,65.77668454066695,21.24067658507422,21.24067658507422
4.0,19.0,"[(3, 3), (3, 3), (3, 3), (3, 3)]",8.220267597,8.347439218,19.0,3.0,3,43.12506520304553,36.699160636689655,36.699160636689655
4.0,20.0,"[(15, 4), (15, 3), (15, 2), (15, 2)]",3.390984903,18.03256236,3.0,3.0,5,8.443728783133825,8.443728783133825,8.82286294830011
5.0,1.0,"[(4, 2), (4, 4), (4, 4), (4, 4), (4, 4)]",5.005509725,5.164034343,7.0,4.0,4,10.798094460240707,11.821745773395232,11.821745773395232
5.0,2.0,"[(16, 14), (16, 7), (16, 6), (16, 11), (16, 11)]",9.825773534,19.48008748,11.0,11.0,10,13.094204632275813,13.094204632275813,13.441116198187022
5.0,3.0,"[(1, 0), (1, 1), (1, 1), (1, 1), (1, 1)]",4.867478727,1.134463008,3.0,1.0,2,15.137578325964563,27.13975046659195,20.637452158671287
5.0,4.0,"[(12, 3), (12, 2), (12, 5), (12, 4), (12, 5)]",4.957388818,15.62985386,4.0,5.0,12,11.616094171213172,9.54556168081236,28.19644779752076
5.0,5.0,"[(1, 1), (1, 1), (1, 1), (1, 1), (1, 1)]",3.894916203,1.010949965,15.0,1.0,1,44.41272705351271,20.429912642302916,20.429912642302916
5.0,6.0,"[(1, 1), (1, 1), (1, 1), (1, 1), (1, 1)]",7.483671784,1.765922896,15.0,1.0,1,30.149364044463255,45.391259950216195,45.391259950216195
5.0,8.0,"[(12, 1), (12, 8), (12, 5), (12, 1), (12, 4)]",4.167612464,12.68721987,4.0,5.0,10,8.973607619722326,8.533828360456562,23.382649657896998
5.0,9.0,"[(7, 1), (7, 0), (7, 2), (7, 0), (7, 1)]",1.568032232,5.357407553,1.0,1.0,4,5.6055711646733,5.6055711646733,9.843562043637863
5.0,10.0,"[(22, 3), (22, 9), (22, 7), (22, 8), (22, 12)]",7.476336447,19.82126613,9.0,9.0,22,11.758756767807956,11.758756767807956,58.09467670779822
5.0,11.0,"[(5, 2), (5, 2), (5, 4), (5, 4), (5, 3)]",3.186047321,5.965245578,3.0,4.0,5,7.783242230058342,7.457092812222291,9.083068111930675
5.0,12.0,"[(6, 6), (6, 5), (6, 6), (6, 3), (6, 6)]",4.358543831,4.062794337,9.0,6.0,6,18.80175549392499,9.665813805941651,9.665813805941651
5.0,13.0,"[(2, 1), (2, 2), (2, 2), (2, 2), (2, 2)]",3.16935245,2.037199118,5.0,2.0,2,9.112698972721311,10.479091918231372,10.479091918231372
5.0,14.0,"[(2, 2), (2, 2), (2, 2), (2, 2), (2, 2)]",8.572721505,1.281342679,17.0,2.0,2,33.77138456197275,46.030841098908766,46.030841098908766
