day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT
1,1,2.478006589,10.55950889,5,4,19
1,2,4.040740398,14.803603,1,1,26
1,3,1.856169005,2.824938926,1,1,2
1,4,5.631873988,17.92738534,6,5,5
1,5,8.291349914,17.74033157,16,15,20
1,6,7.380191238,14.82453663,12,11,10
1,7,4.192382507,5.699620217,6,5,6
1,8,9.846750552,7.766090927,5,4,4
1,9,8.694467756,9.79085603,11,10,None
1,10,4.518203296,14.87256748,1,1,10
1,11,2.296014774,4.917549642,1,1,1
1,12,6.974269205,1.687418281,0,0,0
1,13,4.31383493,18.10637515,5,4,20
1,14,4.29009059,1.075488781,0,0,0
1,15,8.047760973,11.66550944,10,9,None
1,16,5.237482828,2.491075259,0,0,0
1,17,2.63168948,2.684334527,1,1,3
1,18,5.712366174,11.5074546,3,3,3
1,19,5.89830882,16.91668114,3,3,10
1,20,8.948625251,2.883015095,2,2,3
2,1,6.860298294,9.489232069,10,9,8
2,2,4.829749563,11.43786831,6,5,7
2,3,8.414322889,14.32365824,10,10,9
2,4,1.13632913,14.88202788,2,4,2
2,5,7.7798589,17.62013,10,11,12
2,6,9.514379088,7.339606559,7,8,6
2,7,2.800983424,15.64112326,4,4,16
2,8,8.453985541,2.775587188,2,2,2
2,9,7.847318416,7.860208679,9,10,None
2,10,5.408961031,12.34715734,6,6,5
2,11,3.271330209,14.55648854,3,4,None
2,12,8.391903693,14.3771433,7,7,11
2,13,4.726070402,16.37037249,6,7,7
2,14,9.502674188,11.6950342,7,10,12
2,15,3.383955634,5.338675447,6,5,6
2,16,6.241767753,1.964741496,3,4,3
2,17,2.149135633,9.648242266,6,7,5
2,18,6.894746806,18.77429616,6,6,5
2,19,4.06266733,11.57984235,5,5,9
2,20,1.808107192,10.62533124,2,2,12
3,1,8.765866954,15.9812425,11,8,13
3,2,5.210321017,7.204987968,7,5,7
3,3,8.594957117,9.361456101,7,7,8
3,4,6.288778012,7.508383499,7,5,None
3,5,5.801365973,16.79562594,7,6,6
3,6,8.783251568,19.8421229,12,12,19
3,7,3.712531706,15.14916346,4,4,17
3,8,4.558322061,19.40830387,7,7,7
3,9,8.708833846,8.859574862,5,6,6
3,10,9.876286448,12.44416821,12,8,12
3,11,5.08420359,9.684773862,5,4,12
3,12,7.043484203,2.936490045,2,1,3
3,13,3.983644149,8.54582962,6,6,5
3,14,2.843795126,8.18898425,5,4,5
3,15,4.542630091,10.55364014,6,5,5
3,16,1.181352028,11.92692353,1,1,1
3,17,6.779223042,2.442030402,3,3,4
3,18,2.735188174,17.32601823,3,3,3
3,19,8.904314606,7.398459397,9,8,12
3,20,2.547305916,18.38107185,2,2,2
4,1,2.207745724,11.7597468,3,3,None
4,2,9.452344423,4.642422177,5,6,5
4,3,6.678801547,3.323508576,4,4,4
4,4,8.773232521,17.73904303,7,8,7
4,5,4.972693802,18.61563104,6,5,6
4,6,1.639338974,1.01132359,0,0,2
4,7,9.184616166,5.161527121,6,5,5
4,8,6.358917193,14.21768703,11,7,None
4,9,6.214605628,9.654075616,6,5,5
4,10,5.056130763,19.44042653,8,9,5
4,11,3.073404769,13.01752297,3,4,4
4,12,9.9044417,10.63358686,10,10,None
4,13,8.393505123,14.36504808,11,11,14
4,14,8.866827095,5.743089475,7,6,6
4,15,6.099765701,11.4917943,12,5,None
4,16,3.078157621,2.237519048,5,1,None
4,17,2.609558901,18.20557845,2,1,1
4,18,5.802355767,13.09743452,5,6,None
4,19,9.98396244,7.715512356,8,7,7
4,20,3.085836038,19.42532751,4,3,4
5,1,4.744811796,10.45097856,7,8,6
5,2,4.095473076,5.429904097,3,4,4
5,3,1.695538323,19.15686574,2,2,17
5,4,2.334261389,14.91445371,2,3,None
5,5,9.003979029,5.628512622,6,6,5
5,6,3.744881826,17.75905875,5,5,5
5,7,7.347077735,8.066788693,5,5,5
5,8,6.777280278,15.83529441,8,9,8
5,9,1.506368465,9.00004015,2,3,5
5,10,4.155497439,17.65848029,5,5,5
5,11,5.759974082,8.3407124,5,6,5
5,12,3.766389903,13.21444223,5,6,5
5,13,4.31572052,16.2643832,4,4,3
5,14,8.375733268,3.494501768,3,2,3
5,15,2.883949959,4.399723448,2,3,3
5,16,5.16037819,5.011721337,5,6,5
5,17,8.245398815,19.77985408,9,9,None
5,18,3.298847819,15.41847147,2,2,2
5,19,7.079937019,3.519305463,2,3,3
5,20,9.994009881,14.87908194,12,13,16
