day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT,poisson_cost,emprical_cost,ChatGPT_cost,ChatGPT_beat_poisson,ChatGPT_eqaul_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_emprical
1,1,2.478006589,10.55950889,5,4,19,10.64894252,7.785649822,65.91616466,,,,
1,2,4.040740398,14.803603,1,1,26,21.45253261,21.45253261,87.82184667,,,,
1,3,1.856169005,2.824938926,1,1,2,7.267931448,7.267931448,5.261005028,1,,1,
1,4,5.631873988,17.92738534,6,5,5,9.944282866,11.37262641,11.37262641,,,,1
1,5,8.291349914,17.74033157,16,15,20,30.93538086,27.05874136,46.83712627,,,,
1,6,7.380191238,14.82453663,12,11,10,19.28459544,16.08125454,13.48577481,1,,1,
1,7,4.192382507,5.699620217,6,5,6,9.845326906,8.544115993,9.845326906,,1,,
1,8,9.846750552,7.766090927,5,4,4,34.45098601,41.09580989,41.09580989,,,,1
1,10,4.518203296,14.87256748,1,1,10,24.72285143,24.72285143,22.03511776,1,,1,
1,11,2.296014774,4.917549642,1,1,1,9.765978729,9.765978729,9.765978729,,1,,1
1,12,6.974269205,1.687418281,0,0,0,48.81782171,48.81782171,48.81782171,,1,,1
1,13,4.31383493,18.10637515,5,4,20,8.61255735,9.363288486,62.73017034,,,,
1,14,4.29009059,1.075488781,0,0,0,29.98153336,29.98153336,29.98153336,,1,,1
1,16,5.237482828,2.491075259,0,0,0,36.64898904,36.64898904,36.64898904,,1,,1
1,17,2.63168948,2.684334527,1,1,3,11.91808837,11.91808837,6.488265139,1,,1,
1,18,5.712366174,11.5074546,3,3,3,20.10076269,20.10076269,20.10076269,,1,,1
1,19,5.89830882,16.91668114,3,3,10,21.25489824,21.25489824,17.16470772,1,,1,
1,20,8.948625251,2.883015095,2,2,3,48.65586859,48.65586859,41.7273105,1,,1,
2,1,6.860298294,9.489232069,10,9,8,14.52272479,12.23452351,11.01618223,1,,1,
2,2,4.829749563,11.43786831,6,5,7,9.4056681,9.300715471,11.05970226,,,,
2,3,8.414322889,14.32365824,10,10,9,12.43756628,12.43756628,12.13278194,1,,1,
2,4,1.13632913,14.88202788,2,4,2,4.576473703,11.48492249,4.576473703,,1,1,
2,5,7.7798589,17.62013,10,11,12,12.91137225,15.11970991,18.05612254,,,,
2,6,9.514379088,7.339606559,7,8,6,21.02447428,16.9633979,26.22208608,,,,
2,7,2.800983424,15.64112326,4,4,16,7.494015952,7.494015952,52.73128492,,,,
2,8,8.453985541,2.775587188,2,2,2,45.20223233,45.20223233,45.20223233,,1,,1
2,10,5.408961031,12.34715734,6,6,5,9.674895433,9.674895433,10.68410936,,,,
2,12,8.391903693,14.3771433,7,7,11,15.79309003,15.79309003,13.97172772,1,,1,
2,13,4.726070402,16.37037249,6,7,7,9.428905526,11.24124659,11.24124659,,,,1
2,14,9.502674188,11.6950342,7,10,12,20.96369519,12.95864481,14.32237579,1,,,
2,15,3.383955634,5.338675447,6,5,6,11.43560928,8.831965191,11.43560928,,1,,
2,16,6.241767753,1.964741496,3,4,3,23.43753636,17.87762691,23.43753636,,1,,
2,17,2.149135633,9.648242266,6,7,5,15.43876385,19.4123152,11.64071584,1,,1,
2,18,6.894746806,18.77429616,6,6,5,13.14437798,13.14437798,16.68641989,,,,
2,19,4.06266733,11.57984235,5,5,9,8.504181234,8.504181234,19.88990285,,,,
2,20,1.808107192,10.62533124,2,2,12,5.205098315,5.205098315,40.52679236,,,,
3,1,8.765866954,15.9812425,11,8,13,13.48584228,14.26271927,18.37566657,,,,
